course_id,rating,difficulty,For Credit,Would Take Again,grade,Textbook,text,professor_name,department,Attendance,Online Class,cleaned_text,grade_cleaned,grade_numerical,professor_avg_rating,professor_review_count,professor_rating_std,professor_avg_difficulty,professor_difficulty_std,professor_avg_grade,professor_grade_std,course_avg_rating,course_avg_difficulty,course_avg_grade
LIT097,4.5,4.0,,,A,Yes,"This is my first review ever, and I have to do it because Professor Stergiopoulos is an inspiration!!! She is SO smart and lovely.  Could not recommend her enough.  So knowledgable in her field.",Kathryn Stergiopoulos ,Literature department,Mandatory,,first review ever professor stergiopoulos inspiration smart lovely could recommend enough knowledgable field,A,4.0,4.625,4,0.25000000000000006,3.75,0.49999999999999994,3.825,0.3500000000000001,4.75,4.0,4.0
CALC32,4.0,2.0,Yes,No,A,No,"He's an awkward dude, but he teaches math well. He lectures fast and often makes simple mistakes, but he is very gracious when his students correct him. His lectures are clear with plenty of examples to help you understand. You can go the whole semester only saying 3 words ""Thank you professor"". Basically, its all lecture.",Sam Nelson ,Mathematics department,Not Mandatory,,he awkward dude teach math well lecture fast often make simple mistake gracious student correct lecture clear plenty example help understand go whole semester saying word thank professor basically lecture,A,4.0,3.1363636363636362,11,1.0509735746180562,2.3636363636363638,0.9244162777371755,3.5818181818181816,0.7386720271110607,4.0,2.0,4.0
FHS10,5.0,4.0,Yes,Yes,A-,No,"Prof. Michon is an extremely kind and dedicated professor. Every class is a lecture because he has a very specific argument he wants you to understand. Also, he is extremely dedicated: he carefully formats readings for you. My only gripe is his grading scale: he argues grade inflation is a serious issue, so an A- is what an A is for other profs.",Daniel Michon ,Religion & Philosophy department,Mandatory,,prof michon extremely kind dedicated professor every class lecture specific argument want understand also extremely dedicated carefully format reading gripe grading scale argues grade inflation serious issue prof,A-,3.7,4.9,5,0.22360679774997888,3.6,0.5477225575051661,3.62,0.370135110466435,4.458333333333333,3.0,3.7416666666666667
ECON134,5.0,2.0,,,A,Yes,"If you work hard, getting an A isn't very difficult since most of his stuff is from online and even so, he always makes time to help you if you ask. He's very understanding and reasonable.",Murat Binay ,Economics department,Mandatory,,work hard getting isnt difficult since stuff online even always make time help ask he understanding reasonable,A,4.0,4.0,4,2.0,2.75,0.9574271077563382,3.675,0.4716990566028301,4.083333333333333,3.3333333333333335,3.733333333333333
ABNORMAL,1.0,2.0,Yes,,A,Yes,"He was insensitive when teaching a class that involves a sensitive topic. Also, the class involved purely on memorizing contents (which he told us what's going to be tested on - thus easy test) and NO critical thinking. He also taught based on old DSM-IV-TR not DSM 5. Such a bummer because the topic is supposed to be fascinating but the class wasnt",Wei-Chin Hwang ,Psychology department,Not Mandatory,,insensitive teaching class involves sensitive topic also class involved purely memorizing content told u whats going tested thus easy test critical thinking also taught based old dsmivtr dsm bummer topic supposed fascinating class wasnt,A,4.0,2.0,2,1.4142135623730951,2.0,0.0,3.85,0.21213203435596414,1.0,2.0,4.0
MATH135,5.0,5.0,,,B,,Very cool guy,Michael O'Neill ,Mathematics department,Mandatory,,cool guy,B,3.0,3.8666666666666667,15,1.5055453054181618,2.7333333333333334,1.3345232785352157,3.4866666666666664,0.9455660939856283,5.0,5.0,3.0
MATH166,5.0,4.0,Yes,Yes,A+,No,"First portion of the semester was all theory and abstract CS/Math, while the second portion was all about implementation. The theory portion was very difficult for me, but grading was pretty much a guaranteed A, if you did the work. The 2nd half of the class gave me a lot of experience in actually coding all of the theory we learned earlier.",Michael Izbicki ,Computer Science department,Not Mandatory,Yes,first portion semester theory abstract csmath second portion implementation theory portion difficult grading pretty much guaranteed work nd half class gave lot experience actually coding theory learned earlier,A+,4.0,4.166666666666667,6,1.6020819787597218,3.8333333333333335,0.983192080250175,4.0,0.0,5.0,3.5,4.0
ECON151,4.0,4.0,Yes,Yes,B,No,"You don't have much choice for professors if you have to take this class, and there are very few people who take this subject for fun. The class is hard but if you really apply yourself you should be fine. The flipped classroom helps a lot because it makes you study the material over and over again. Study hard for the midterms, they're brutal.",Ananda Ganguly ,Economics department,Not Mandatory,,dont much choice professor take class people take subject fun class hard really apply fine flipped classroom help lot make study material study hard midterm theyre brutal,B,3.0,4.25,10,0.716860438920219,3.5,0.5270462766947298,3.6,0.35590260840104393,4.0,3.5,3.6
PHIL038,5.0,4.0,Yes,Yes,A-,No,He's a very likable and enjoyable professor. I would highly recommend! Really interesting readings that are also very manageable. There isn't too much homework. He engages you in the class and sparked my interest in philosophy. He helps you grow as a writer and thinker. He's a pretty tough grader but if you put the work in he will reward you.,Dustin Locke ,Philosophy department,Mandatory,,he likable enjoyable professor would highly recommend really interesting reading also manageable isnt much homework engages class sparked interest philosophy help grow writer thinker he pretty tough grader put work reward,A-,3.7,4.285714285714286,7,1.4960264830861913,4.0,0.816496580927726,3.685714285714286,0.3338091841585121,4.2,4.2,3.8200000000000003
SPAN33,5.0,3.0,Yes,Yes,B+,Yes,"Such a nice and caring professor. Cares about your development in Spanish and as a person. Every piece of work you have to do is carefully considered to help you master the language. Furthermore, his office hours are extremely helpful. Language is not easy for me so that is why I made it difficult.",Carlos Gonzales ,Modern Languages department,Mandatory,,nice caring professor care development spanish person every piece work carefully considered help master language furthermore office hour extremely helpful language easy made difficult,B+,3.3,4.428571428571429,7,0.7867957924694431,2.5714285714285716,0.9759000729485333,3.6285714285714286,0.24976179127511164,4.833333333333333,2.1666666666666665,3.733333333333333
MATH031,5.0,2.0,,Yes,A,Yes,"I kinda took the L in his class but that's j b/c mah stimmy hit during the year and I was hitting dat stizzy. pretty cool good teacher though, healthy heart and interesting lectures.",Michael O'Neill ,Mathematics department,Mandatory,,kinda took l class thats j bc mah stimmy hit year hitting dat stizzy pretty cool good teacher though healthy heart interesting lecture,A,4.0,3.8666666666666667,15,1.5055453054181618,2.7333333333333334,1.3345232785352157,3.4866666666666664,0.9455660939856283,3.625,2.5,3.45
FHS010,5.0,2.0,Yes,Yes,A-,Yes,"Students will take lead a class discussion and the nice thing is that you get to choose when in the semester you do this. You can get away with not reading the entire text as long as you read a summary and you don't even have to participate much to still get a good grade. Very understanding as long as you communicate with him, has good vibes.",Gary Gilbert ,Religious Studies department,Mandatory,,student take lead class discussion nice thing get choose semester get away reading entire text long read summary dont even participate much still get good grade understanding long communicate good vibe,A-,3.7,4.777777777777778,9,0.44095855184409843,3.2222222222222223,0.6666666666666666,3.8666666666666663,0.1581138830084188,3.7045454545454546,3.090909090909091,3.690909090909091
ECON86,4.5,1.0,Yes,,A,No,He's the best Prof. At cmc,Markos Massoud ,Accounting department,Mandatory,,he best prof cmc,A,4.0,4.6,5,0.6519202405202649,3.2,1.6431676725154982,3.54,0.5504543577809153,3.611111111111111,3.5555555555555554,3.3
